category,agency,description,locationType,address,borough,lat,lng,frequency
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,842 2 AVENUE,MANHATTAN,40.751605095622175,-73.97089504125978,17
human,New York City Police Department,Loud Music/Party,Store/Commercial,851 6 AVENUE,MANHATTAN,40.74718652290487,-73.98969628662965,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,2110 FREDERICK DOUGLAS BOULEVARD,MANHATTAN,40.803250905453474,-73.95620755042522,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,1341 ST NICHLAS AVENUE,MANHATTAN,40.846824566501674,-73.93556225282458,9
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,QUEENS,40.76615269007771,-73.91977780939396,10
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,88-09 82 AVENUE,QUEENS,40.7031778469941,-73.85804682667757,12
human,New York City Police Department,Loud Talking,Street/Sidewalk,120 VERMILYEA AVENUE,MANHATTAN,40.866456912730875,-73.9214573171432,9
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.73396496976481,-73.98877821707838,8
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,1701 2 AVENUE,MANHATTAN,40.779278959610494,-73.9507349815786,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant, WEST 17 STREET,MANHATTAN,40.743459487745085,-74.0053915539758,9
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,MANHATTAN,40.842312030880514,-73.93514015201721,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,70 WEST 128 STREET,MANHATTAN,40.80918191601642,-73.94288845720885,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,QUEENS,40.67413839153959,-73.72954484804696,5
human,New York City Police Department,Loud Talking,Street/Sidewalk, BROADWAY,MANHATTAN,40.75542043682271,-73.9865223041745,6
